City,Tourist Spot 1,Tourist Spot 2,Tourist Spot 3,Breakfast Spot 1,Breakfast Spot 2,Breakfast Spot 3,Dinner Spot 1,Dinner Spot 2,Dinner Spot 3,Combined_Features,Cluster
Visakhapatnam,INS Kurusura Submarine Museum,Kailasagiri Hill Park,Yarada Beach,Sri Sairam Parlour,R&G - Hotel GreenPark,Uma Parlour,Shree Shyam Restaurant,Jai Ganesh MAEN Restaurant,Sarvani Sweets,ins kurusura submarine museum kailasagiri hill park yarada beach sri sairam parlour r&g - hotel greenpark uma parlour shree shyam restaurant jai ganesh maen restaurant sarvani sweets,3
Surat,Jagdishchandra Bose Aquarium,Dutch Garden,Sarthana Nature Park,Radhe Dhokla,Jaani Locho,Lijjat Khwasa,Sasumaa Gujarati Thali,Sizzling Salsa,Kansar Gujarati Thali,jagdishchandra bose aquarium dutch garden sarthana nature park radhe dhokla jaani locho lijjat khwasa sasumaa gujarati thali sizzling salsa kansar gujarati thali,0
Vadodara,Laxmi Vilas Palace,Sayaji Garden,Baroda Golf Club,The House of MG,Shree Vithal's,Cafe 9,Saffron Restaurant,The Earth Plate,Indian Pavilion,laxmi vilas palace sayaji garden baroda golf club the house of mg shree vithal's cafe 9 saffron restaurant the earth plate indian pavilion,2
Nashik,Trimbakeshwar Temple,Saptashrungi,Pandav Leni Caves,Chai Shai,Vaishali Restaurant,Shree Sagar,Mehfil Restaurant,Swaad Sutra,Beverly Hills,trimbakeshwar temple saptashrungi pandav leni caves chai shai vaishali restaurant shree sagar mehfil restaurant swaad sutra beverly hills,3
Patna,Golghar,Patna Museum,Mahavir Mandir,Bansi Vihari,Patna Rasoi,Shree Narmada,Spice Court,Biryani Mahal,17 Degrees,golghar patna museum mahavir mandir bansi vihari patna rasoi shree narmada spice court biryani mahal 17 degrees,2
Ranchi,Rock Garden,Tagore Hill,Kanke Dam,Kaveri Restaurant,The Kitchen,Biryani House,The Chaiwala,Red Mango,Ranchi Rasoi,rock garden tagore hill kanke dam kaveri restaurant the kitchen biryani house the chaiwala red mango ranchi rasoi,2
Bhubaneswar,Lingaraj Temple,Udayagiri and Khandagiri Caves,Brahmeswar Temple,Anand Biri,Bengal Sweets,Rasa Kitchen,The Talk,Kalinga Hotel,Green Hut,lingaraj temple udayagiri and khandagiri caves brahmeswar temple anand biri bengal sweets rasa kitchen the talk kalinga hotel green hut,3
Raipur,Mahant Ghasidas Memorial Museum,Doodhadhari Monastery,Nandan Van Zoo,Sagar Ratna,Bhogpuri,Ravi Bhojanalay,Sagar Ratna,Suyash Restaurant,Shree Ram Restaurant,mahant ghasidas memorial museum doodhadhari monastery nandan van zoo sagar ratna bhogpuri ravi bhojanalay sagar ratna suyash restaurant shree ram restaurant,3
Jodhpur,Mehrangarh Fort,Jaswant Thada,Umaid Bhawan Palace,Shankarâ€™s Chaat Bhandar,Janta Sweet Home,Shahi Samosa,Gypsy Restaurant,Kalinga Restaurant,Indique,mehrangarh fort jaswant thada umaid bhawan palace shankarâ€™s chaat bhandar janta sweet home shahi samosa gypsy restaurant kalinga restaurant indique,2
Udaipur,City Palace,Lake Pichola,Jagdish Temple,Natraj Dining Hall,JMB Cafe,Cafe Edelweiss,Ambrai Restaurant,Upre,Savage Garden,city palace lake pichola jagdish temple natraj dining hall jmb cafe cafe edelweiss ambrai restaurant upre savage garden,3
Chandigarh,Rock Garden,Sukhna Lake,Rose Garden,Indian Coffee House,Gopal Sweets,Sindhi Sweets,Pal Dhaba,Barbeque Nation,Swagath Restaurant,rock garden sukhna lake rose garden indian coffee house gopal sweets sindhi sweets pal dhaba barbeque nation swagath restaurant,0
Amritsar,Golden Temple,Jallianwala Bagh,Wagah Border,Kesar Da Dhaba,Gurdas Ram Jalebi Wala,Kanha Sweets,Bharawan Da Dhaba,Crystal Restaurant,Kesar Da Dhaba,golden temple jallianwala bagh wagah border kesar da dhaba gurdas ram jalebi wala kanha sweets bharawan da dhaba crystal restaurant kesar da dhaba,0
Ludhiana,Punjab Agricultural University Museum,Gurudwara Nanaksar Jagraon,Rakh Bagh,Bille Di Hatti,Lovely Sweets,Chawlaâ€™s,Yellow Chilli,Barbeque Nation,Kitchen at 95,punjab agricultural university museum gurudwara nanaksar jagraon rakh bagh bille di hatti lovely sweets chawlaâ€™s yellow chilli barbeque nation kitchen at 95,0
Dehradun,Robberâ€™s Cave,Sahastradhara,Mindrolling Monastery,Chetan Puri Wala,Doon Darbar,Kumar Vegetarian,Black Pepper Restaurant,Town Table,Punjab Grill,robberâ€™s cave sahastradhara mindrolling monastery chetan puri wala doon darbar kumar vegetarian black pepper restaurant town table punjab grill,0
Noida,DLF Mall of India,ISKCON Temple,Okhla Bird Sanctuary,The Yellow Chilli,Desi Vibes,Cafe Coffee Day,Pirates of Grill,Barbeque Nation,The Great Kabab Factory,dlf mall of india iskcon temple okhla bird sanctuary the yellow chilli desi vibes cafe coffee day pirates of grill barbeque nation the great kabab factory,0
Gurgaon,Kingdom of Dreams,Cyber Hub,Damdama Lake,Om Sweets,Cafe Delhi Heights,Bikanervala,Carnatic Cafe,Burma Burma,Prego,kingdom of dreams cyber hub damdama lake om sweets cafe delhi heights bikanervala carnatic cafe burma burma prego,3
Faridabad,Surajkund Lake,Badkhal Lake,Raja Nahar Singh Palace,Anupam Sweets,Bikanervala,Cafe Coffee Day,Haveli,World Cafe,Murthal Paratha,surajkund lake badkhal lake raja nahar singh palace anupam sweets bikanervala cafe coffee day haveli world cafe murthal paratha,3
Ghaziabad,Swarna Jayanti Park,ISKCON Temple,Drizzling Land,Bikanervala,Shree Rathnam,Cafe Coffee Day,The Yellow Chilli,Walk in the Woods,Country Inn,swarna jayanti park iskcon temple drizzling land bikanervala shree rathnam cafe coffee day the yellow chilli walk in the woods country inn,0
Thiruvananthapuram,Padmanabhaswamy Temple,Kovalam Beach,Napier Museum,Arya Nivas,Indian Coffee House,Maveli Cafe,Villa Maya,Zam Zam Restaurant,Mothers Veg Plaza,padmanabhaswamy temple kovalam beach napier museum arya nivas indian coffee house maveli cafe villa maya zam zam restaurant mothers veg plaza,2
Kochi,Fort Kochi,Mattancherry Palace,Cherai Beach,Kashi Art Cafe,Sri Annapoorna,Dhe Puttu,Fusion Bay,Grand Pavilion,The Rice Boat,fort kochi mattancherry palace cherai beach kashi art cafe sri annapoorna dhe puttu fusion bay grand pavilion the rice boat,1
Coimbatore,Marudhamalai Temple,VOC Park and Zoo,Dhyanalinga,Annapoorna,Shree Anandhaas,Sree Annapoorna,Hari Bhavan,RHR Restaurant,Valarmathi Biryani,marudhamalai temple voc park and zoo dhyanalinga annapoorna shree anandhaas sree annapoorna hari bhavan rhr restaurant valarmathi biryani,3
Madurai,Meenakshi Amman Temple,Thirumalai Nayakkar Palace,Gandhi Memorial Museum,Murugan Idli Shop,Amma Mess,Konar Kadai,Kumar Mess,Philâ€™s Bistro,Amsavalli Bhavan,meenakshi amman temple thirumalai nayakkar palace gandhi memorial museum murugan idli shop amma mess konar kadai kumar mess philâ€™s bistro amsavalli bhavan,1
Trichy,Sri Ranganathaswamy Temple,Rock Fort Temple,Jambukeswarar Temple,Banana Leaf,Shri Sangeetas,Vasanta Bhavan,Meridian Restaurant,Kannappa Chettinad,Ezham Suvai,sri ranganathaswamy temple rock fort temple jambukeswarar temple banana leaf shri sangeetas vasanta bhavan meridian restaurant kannappa chettinad ezham suvai,1
Jamshedpur,Jubilee Park,Dimna Lake,Tata Steel Zoological Park,The Blue Diamond,Novelty Restaurant,Anand Restaurant,The Yellow Chilli,Brubeck Bakery,Little Italy,jubilee park dimna lake tata steel zoological park the blue diamond novelty restaurant anand restaurant the yellow chilli brubeck bakery little italy,0
Dhanbad,Topchanchi Lake,Maithon Dam,Bhatinda Falls,Mithuâ€™s Chat Corner,Bikanervala,Annapurna Sweets,Zaika Restaurant,Spice Villa,Hotel Black Rock,topchanchi lake maithon dam bhatinda falls mithuâ€™s chat corner bikanervala annapurna sweets zaika restaurant spice villa hotel black rock,1
Guwahati,Kamakhya Temple,Umananda Temple,Assam State Museum,Kalita Cafe,Momo Ghar,Jain Tea Stall,Paradise Restaurant,Gamâ€™s Delicacy,Khorika,kamakhya temple umananda temple assam state museum kalita cafe momo ghar jain tea stall paradise restaurant gamâ€™s delicacy khorika,1
Shillong,Shillong Peak,Wardâ€™s Lake,Don Bosco Museum,City Hut Dhaba,Bread Cafe,Cafe Shillong,La Galerie,Heritage Club,Dylanâ€™s Cafe,shillong peak wardâ€™s lake don bosco museum city hut dhaba bread cafe cafe shillong la galerie heritage club dylanâ€™s cafe,3
Imphal,Kangla Fort,Loktak Lake,Shree Govindajee Temple,Luxmi Kitchen,Shree Shyam Sweets,Cafe Moirang,Chakluk Hotel,OK Hotel,Fire Bowl,kangla fort loktak lake shree govindajee temple luxmi kitchen shree shyam sweets cafe moirang chakluk hotel ok hotel fire bowl,3
Aizawl,Durtlang Hills,Vantawng Falls,Mizoram State Museum,Zote Bakery,Davidâ€™s Kitchen,Mizo Diner,Red Rose Restaurant,Hotel Regency,Cafe Oak,durtlang hills vantawng falls mizoram state museum zote bakery davidâ€™s kitchen mizo diner red rose restaurant hotel regency cafe oak,3
Gangtok,Tsomgo Lake,Rumtek Monastery,Nathula Pass,Bakerâ€™s Cafe,Cafe Live & Loud,Taste of Tibet,Rasoi Restaurant,The Coffee Shop,Parivar Restaurant,tsomgo lake rumtek monastery nathula pass bakerâ€™s cafe cafe live & loud taste of tibet rasoi restaurant the coffee shop parivar restaurant,3
Itanagar,Ganga Lake (Geker Sinying),Itanagar Wildlife Sanctuary,Jawaharlal Nehru Museum,Momos Corner,Bamboo Hut,City Cafe,BBQ Nation,The Royal Kitchen,Hotel Blue Pine,ganga lake (geker sinying) itanagar wildlife sanctuary jawaharlal nehru museum momos corner bamboo hut city cafe bbq nation the royal kitchen hotel blue pine,3
Agartala,Ujjayanta Palace,Neermahal,Tripura State Museum,Shankarâ€™s Fast Food,Bikanervala,Cafe Coffee Day,Ginger Restaurant,Hotel Polo Towers,Kwai Restaurant,ujjayanta palace neermahal tripura state museum shankarâ€™s fast food bikanervala cafe coffee day ginger restaurant hotel polo towers kwai restaurant,1
Panaji,Basilica of Bom Jesus,Fort Aguada,Dona Paula,Cafe Bodega,Cafe Tato,Navtara,The Black Sheep Bistro,Ritz Classic,Mumâ€™s Kitchen,basilica of bom jesus fort aguada dona paula cafe bodega cafe tato navtara the black sheep bistro ritz classic mumâ€™s kitchen,3
Puducherry,Auroville,Promenade Beach,Sri Aurobindo Ashram,Cafe des Arts,Surguru,Baker Street,Villa Shanti,La Maison Rose,Tanto Pizzeria,auroville promenade beach sri aurobindo ashram cafe des arts surguru baker street villa shanti la maison rose tanto pizzeria,1
Mysore,Mysore Palace,Chamundeshwari Temple,Brindavan Gardens,Vinayaka Mylari,Hotel RRR,Dosa Point,Parklane Hotel,Green Leaf,Oyster Bay,mysore palace chamundeshwari temple brindavan gardens vinayaka mylari hotel rrr dosa point parklane hotel green leaf oyster bay,3
Hubli,Unkal Lake,Chandramouleshwara Temple,Nrupatunga Hill,Basava Vana,Kamat Hotel,Shree Sagar,Gufha Restaurant,The Sigdi,Ayodhya Restaurant,unkal lake chandramouleshwara temple nrupatunga hill basava vana kamat hotel shree sagar gufha restaurant the sigdi ayodhya restaurant,3
Warangal,Thousand Pillar Temple,Warangal Fort,Bhadrakali Temple,Sri Geetha Bhavan,Annapurna Hotel,Balaji Grand,Eat N Enjoy,Vikrant Restaurant,Royal Dine,thousand pillar temple warangal fort bhadrakali temple sri geetha bhavan annapurna hotel balaji grand eat n enjoy vikrant restaurant royal dine,1
Tirupati,Sri Venkateswara Temple,Talakona Waterfall,Chandragiri Fort,Srivari Udupi Hotel,Mayura Restaurant,Sri Vari Bhavan,Hyderabadi Spice,Rainbow Restaurant,Hotel Bliss,sri venkateswara temple talakona waterfall chandragiri fort srivari udupi hotel mayura restaurant sri vari bhavan hyderabadi spice rainbow restaurant hotel bliss,1
Vijayawada,Kanaka Durga Temple,Bhavani Island,Undavalli Caves,Sweet Magic,Amaravathi Restaurant,Idli Factory,Barbeque Nation,Minerva Grand,The Spicy Venue,kanaka durga temple bhavani island undavalli caves sweet magic amaravathi restaurant idli factory barbeque nation minerva grand the spicy venue,0
Gwalior,Gwalior Fort,Jai Vilas Palace,Tansen Tomb,SS Kachori Wala,Moti Mahal Delux,Bahadura Sweets,Silver Saloon,The Mansingh,Kwality Restaurant,gwalior fort jai vilas palace tansen tomb ss kachori wala moti mahal delux bahadura sweets silver saloon the mansingh kwality restaurant,2
Bareilly,Fun City,Trivati Nath Temple,Alakhnath Temple,Gupta Chaat House,Sharma Ji Ki Chai,Bikanervala,Tikka House,The Bamboo Shoots,Mezbaan Restaurant,fun city trivati nath temple alakhnath temple gupta chaat house sharma ji ki chai bikanervala tikka house the bamboo shoots mezbaan restaurant,2
Moradabad,Prem Wonderland,Sai Temple,Raza Library,Janta Sweets,Bikanervala,Cafe Coffee Day,Zaika Restaurant,Tunday Kababi,Punjabi Tadka,prem wonderland sai temple raza library janta sweets bikanervala cafe coffee day zaika restaurant tunday kababi punjabi tadka,2
Meerut,Augarnath Temple,St. Johnâ€™s Church,Suraj Kund,Pappu Chaat Bhandar,Bikanervala,Shivam Sweets,Cafe Bella Vista,The Yellow Chilli,Khalsa Restaurant,augarnath temple st. johnâ€™s church suraj kund pappu chaat bhandar bikanervala shivam sweets cafe bella vista the yellow chilli khalsa restaurant,0
Kolhapur,Mahalakshmi Temple,Panhala Fort,Rankala Lake,Hotel Bawda Misal,Padma Restaurant,Komal Cafe,Opal Restaurant,Patlacha Wada,Niyaaz Restaurant,mahalakshmi temple panhala fort rankala lake hotel bawda misal padma restaurant komal cafe opal restaurant patlacha wada niyaaz restaurant,1
Solapur,Siddheshwar Temple,Bhuikot Fort,Great Maratha Fort,Kamat Hotel,Shreejiâ€™s Pure Veg,Balaji Bhavan,Jagdamba Devi,Pushpvihar Restaurant,Fratelli Wines,siddheshwar temple bhuikot fort great maratha fort kamat hotel shreejiâ€™s pure veg balaji bhavan jagdamba devi pushpvihar restaurant fratelli wines,1
Latur,Ausa Fort,Udgir Fort,Kharosa Caves,Shri Venkatesh Udupi,Annapurna Bhavan,Bikanervala,Sai Bhojanalay,Hotel Grand,Maratha Darbar,ausa fort udgir fort kharosa caves shri venkatesh udupi annapurna bhavan bikanervala sai bhojanalay hotel grand maratha darbar,1
Amravati,Ambadevi Temple,Melghat Tiger Reserve,Chikhaldara Hill Station,Shree Krishna Misal,Anand Bhojanalay,Siddhivinayak Sweets,Gulshan Restaurant,Sankalp Restaurant,Amba Restaurant,ambadevi temple melghat tiger reserve chikhaldara hill station shree krishna misal anand bhojanalay siddhivinayak sweets gulshan restaurant sankalp restaurant amba restaurant,3
Chhatrapati Sambhajinagar,Ajanta Caves,Ellora Caves,Bibi Ka Maqbara,Shree Gajanan Bhojanalay,Annapurna Hotel,Jai Bhawani Vada Pav,Naivedya Restaurant,Green Leaf Cafe,Swad Restaurant,ajanta caves ellora caves bibi ka maqbara shree gajanan bhojanalay annapurna hotel jai bhawani vada pav naivedya restaurant green leaf cafe swad restaurant,3
Nanded,Sachkhand Gurudwara,Sahastrakund Waterfall,Kaleshwar Temple,The Cafe,Shree Balaji Udupi,Anand Stall,Guru Nanak Restaurant,Tulsi Restaurant,New Punjab Restaurant,sachkhand gurudwara sahastrakund waterfall kaleshwar temple the cafe shree balaji udupi anand stall guru nanak restaurant tulsi restaurant new punjab restaurant,1
Raigad,Raigad Fort,Murud-Janjira Fort,Diveagar Beach,Visawa Restaurant,Shree Datta Snacks,Konkan Cafe,Hotel Vinayak,Malvan Tadka,Konkan Kinara,raigad fort murud-janjira fort diveagar beach visawa restaurant shree datta snacks konkan cafe hotel vinayak malvan tadka konkan kinara,3
Ratnagiri,Ganpatipule Temple,Thibaw Palace,Ratnadurg Fort,Hotel Annapurna,Kokani Katta,Sawant Snacks,Atharva Restaurant,Konkan Villa,Hotel Sea Rock,ganpatipule temple thibaw palace ratnadurg fort hotel annapurna kokani katta sawant snacks atharva restaurant konkan villa hotel sea rock,1
Sindhudurg,Sindhudurg Fort,Tarkarli Beach,Malvan Marine Sanctuary,Chaitanya Restaurant,Gajanan Snacks,Malvani Mess,Atithi Bamboo Restaurant,Sawant Malvani,Malvan Kinara,sindhudurg fort tarkarli beach malvan marine sanctuary chaitanya restaurant gajanan snacks malvani mess atithi bamboo restaurant sawant malvani malvan kinara,1
Satara,Kaas Plateau,Ajinkyatara Fort,Thoseghar Waterfalls,Sai Bhojanalay,Annapurna Bhavan,Manoharâ€™s Misal,Hotel Shreeman,Maratha Samrat,Lake View Restaurant,kaas plateau ajinkyatara fort thoseghar waterfalls sai bhojanalay annapurna bhavan manoharâ€™s misal hotel shreeman maratha samrat lake view restaurant,1
Ahilyanagar,Shirdi Sai Baba Temple,Ahmednagar Fort,Wet N Joy Water Park,The Project Cafe,Gopi Dining Hall,Jay Bhavani,Agashiye,Gordhan Thal,Swati Snacks,shirdi sai baba temple ahmednagar fort wet n joy water park the project cafe gopi dining hall jay bhavani agashiye gordhan thal swati snacks,3
Sangli,Ganpati Temple,Sangli Fort,Chandoli National Park,Krishna Bhojanalay,Sangli Sweets,Shree Datta Snacks,Hotel Ambika,Maratha Darbar,Sangli Spice,ganpati temple sangli fort chandoli national park krishna bhojanalay sangli sweets shree datta snacks hotel ambika maratha darbar sangli spice,3

